iter	RMSE
0	26.63682761
1	26.59798682
2	26.56724709
3	26.51920464
4	26.47559466
5	26.42848863
6	26.3852468
7	26.3379796
8	26.31223384
9	26.2705786
10	26.23025496
11	26.22069973
12	26.17050329
13	26.14850634
14	26.12513838
15	26.1002187
16	26.07592339
17	26.04114954
18	26.01657081
19	26.00311806
20	25.97170089
21	25.94633193
22	25.91739808
23	25.90218696
24	25.87941984
25	25.85952824
26	25.83561785
27	25.80946751
28	25.77974279
29	25.7467335
30	25.71096959
31	25.68269799
32	25.66136501
33	25.64743538
34	25.6346092
35	25.61757279
36	25.60315617
37	25.57993627
38	25.56441431
39	25.54188087
40	25.5253524
41	25.5085553
42	25.49056353
43	25.47576955
44	25.46927774
45	25.43152898
46	25.4261904
47	25.41014559
48	25.38061178
49	25.36321185
50	25.34803549
51	25.32116192
52	25.30833665
53	25.29682585
54	25.28687334
55	25.26833568
56	25.23665
57	25.213457
58	25.19341511
59	25.18603382
60	25.17490056
61	25.14521119
62	25.13830346
63	25.1161481
64	25.10232124
65	25.09349687
66	25.07973333
67	25.05772822
68	25.03930625
69	25.01001364
70	24.9918605
71	24.97955997
72	24.96133928
73	24.94374346
74	24.93540672
75	24.92169903
76	24.90748175
77	24.89754293
78	24.88442941
79	24.8658837
80	24.85245646
81	24.82987598
82	24.81892748
83	24.80640267
84	24.78262574
85	24.76820659
86	24.74402859
87	24.73236648
88	24.71768474
89	24.70364179
90	24.68794693
91	24.68023646
92	24.67043508
93	24.65945483
94	24.64309098
95	24.63367923
96	24.62040136
97	24.60558311
98	24.59790776
99	24.58406234
100	24.56906284
101	24.54515382
102	24.52155789
103	24.51299737
104	24.50442909
105	24.48837844
106	24.47247773
107	24.45563522
108	24.44114888
109	24.43241666
110	24.4171441
111	24.41106191
112	24.40758644
113	24.39351714
114	24.38143023
115	24.37549337
116	24.37132404
117	24.364391
118	24.34666823
119	24.33622891
120	24.32827301
121	24.31734704
122	24.30987065
123	24.29740986
124	24.28700757
125	24.26274918
126	24.25546171
127	24.24929756
128	24.23213534
129	24.21713301
130	24.19274787
131	24.18367969
132	24.16359935
133	24.14493409
134	24.13948846
135	24.13446536
136	24.12267915
137	24.11384488
138	24.1040659
139	24.09576232
140	24.08406932
141	24.0716774
142	24.06108156
143	24.048573
144	24.04575602
145	24.03652835
146	24.03226242
147	24.01310666
148	24.00365666
149	23.99239957
150	23.98568733
151	23.96749117
152	23.95763728
153	23.95078928
154	23.94224486
155	23.92514114
156	23.90399906
157	23.89190482
158	23.8850553
159	23.87877792
160	23.86763145
161	23.86226248
162	23.85231416
163	23.83904551
164	23.83118555
165	23.82698443
166	23.81027378
167	23.7911155
168	23.78700163
169	23.77862722
